id,name,sex,height,weight,team
64508,Andrzej Jzef Kubiak,M,165,68,Poland
64509,Czesaw Kubiak,M,184,82,Poland
64510,Eugeniusz Kubiak,M,186,85,Poland
64511,Grzegorz Kubiak,M,172,80,Poland
64512,Mariusz Kubiak,M,186,76,Poland
64513,Micha Kubiak,M,191,80,Poland
64514,Ryszard Kubiak,M,170,50,Poland
64515,Jn Kubica,M,170,78,Slovakia
64516,Mikoaj Kubica,M,170,64,Poland
64517,Sylwester Kubica,M,169,60,Poland
64518,Wilhelm Kubica,M,168,60,Poland
64519,Petr Kubek,M,178,74,Czechoslovakia
64520,Tom Kubek,M,184,69,Czechoslovakia
64521,Terry Paul Kubicka,M,,,United States
64522,Vclav Kubka,M,169,66,Czechoslovakia
64523,Jeremi Kubicki,M,,,Poland
64524,Jna Kubikov-Posnerov,F,164,55,Czechoslovakia
64525,Hermann Kubik,M,,,Austria
64526,Wojciech Kubik,M,171,82,Poland-1
64527,Milada Kubkov,F,,,Czechoslovakia-2
64528,Pavel Kubina,M,196,113,Czech Republic
64529,Frigyes Kubinyi,M,,,Hungary
64530,Johnson Kubisa,M,173,73,Botswana
64531,Jan Kubista,M,193,81,Czechoslovakia
64532,Oldich Kubita,M,190,88,Czechoslovakia
64533,Grete Kubitschek,F,,,Austria
64534,Werner Kubitzki,M,,,Germany
64535,Jacek Kubka,M,186,86,Poland
64536,Ieva Kublia,F,192,85,Latvia
64537,Akira Kubo,M,171,64,Japan
64538,Hanae Kubo,F,168,63,Japan
64539,Kanji Kubo,M,167,82,Japan
64540,Noriko Kubo,F,163,52,Japan
64541,Taeko Kubo,F,162,58,Japan
64542,Tokuko Kubo,F,162,58,Japan
64543,Kazushige Kuboki,M,172,65,Japan
64544,Satomi Kubokura,F,160,52,Japan
64545,Kanji Kubomura,M,165,62,Japan
64546,Eugne Kuborn,M,,,Luxembourg
64547,ukasz Kubot,M,190,86,Poland
64548,Hiroyoshi Kubota,M,168,53,Japan
64549,Kyoko Kubota,F,,,Japan
64550,Masami Kubota,M,,,Japan
64551,Michio Kubota,M,170,67,Japan
64552,Minoru Kubota,M,171,84,Japan
64553,Valentin Alekseyevich Kubrakov,M,195,93,Russia
64554,Nataliya Kubrina,F,172,60,Kazakhstan
64555,Bohumil Kubrycht,M,,,Bohemia
64556,Shakes Kubuitsile,M,175,63,Botswana
64557,Christian Kubusch,M,194,86,Germany
64558,Dariusz Stanisaw Ku,M,178,64,Poland
64559,Marina Ku,F,177,67,Serbia and Montenegro
64560,Arben Kucana,M,184,95,Albania
64561,Jozef Kucej,M,181,72,Czechoslovakia
64562,Frantiek Kuera,M,188,93,Czech Republic
64563,Ji Kuera,M,181,81,Czech Republic
64564,John Kucera,M,176,80,Canada
64565,Karol Kuera,M,188,75,Slovakia
64566,Martin Kuera,M,193,74,Slovakia
64567,Milan Kuera,M,175,63,Czechoslovakia
64568,Oldich Kuera,M,,,Czechoslovakia
64569,Ren Kuera,M,184,82,Czechoslovakia
64570,Tom Kuera,M,175,70,Czech Republic
64571,Tom Kuera,M,187,86,Czechoslovakia
64572,Vladimr Kuera,M,175,63,Czechoslovakia
64573,Miloslav Kuek,M,175,62,Czechoslovakia
64574,Nikol Kuerov,F,164,63,Czech Republic
64575,Jobst Kuch,M,,,Germany
64576,"Matthew Gregory ""Matt"" Kuchar",M,193,86,United States
64577,Wacaw Micha Kuchar,M,167,60,Poland
64578,Alfred Kucharczyk,M,170,68,Poland
64579,Krzysztof Kucharczyk,M,182,70,Poland
64580,Jzsef Kucharik,M,,,Hungary
64581,Kazimierz Kucharski,M,184,64,Poland
64582,Leszek Roman Kucharski,M,193,78,Poland
64583,Tomasz Bogusaw Kucharski,M,181,72,Poland
64584,Beata Kucharzewska,F,164,56,Poland
64585,Fritz Kuchen,M,,,Switzerland
64586,Otto Albert August Kuchenbecker,M,,,Germany
64587,Sergey Vyacheslavovich Kucherov,M,175,95,Russia
64588,Sergey Mikhaylovich Kucheryanu,M,184,71,Russia
64589,Mladen Kuchev,M,156,67,Bulgaria
64590,Alfred Iosifovich Kuchevsky,M,180,79,Soviet Union
64591,Natasha Maria Hanako Kuchiki,F,159,50,United States-1
64592,Nataliya Aleksandrovna Kuchinskaya (-Kotlyar),F,158,48,Soviet Union
64593,Aleksandr Anatolyevich Kuchinsky,M,181,77,Belarus
64594,Yulduz Kuchkarova,F,176,64,Uzbekistan
64595,Richard Kuchler,M,185,80,West Germany
64596,Steven Kchler,M,176,67,Germany
64597,"Anton Albert ""Toni"" Kchler",M,180,74,Switzerland
64598,Sergey Vasilyevich Kuchmasov,M,170,72,Belarus
